Temperature,Humidity,CO2
24,45,0.004
21,47,0.004
24,48,0.004
27,57,0.004
23,50,0.004
22,47,0.004
21,49,0.004
25,52,0.004
23,59,0.004
24,57,0.004
21,50,0.004
21,52,0.004
20,52,0.004
20,49,0.004
20,49,0.004
25,59,0.004
28,52,0.004
23,47,0.004
25,52,0.004
26,46,0.004
27,46,0.004
28,46,0.004
28,47,0.004
29,51,0.004
28,54,0.004
24,58,0.004
22,50,0.004
25,50,0.004
27,49,0.004
28,47,0.004
28,47,0.004
26,49,0.004
24,53,0.004
22,58,0.004
22,49,0.004
22,58,0.004
22,58,0.004
25,58,0.004
25,52,0.004
22,52,0.004
25,48,0.004
24,56,0.004
27,59,0.004
30,67,0.005
29,68,0.006
25,59,0.007
24,56,0.008
22,51,0.009
24,51,0.01
26,48,0.011
28,49,0.012
25,51,0.013
26,49,0.014
25,50,0.015
28,57,0.016
29,60,0.017
32,68,0.018
29,69,0.019
28,56,0.02
23,48,0.021
26,48,0.022
24,47,0.023
27,51,0.024
23,59,0.025
25,53,0.026
24,56,0.027
27,55,0.028
26,60,0.029
26,56,0.03
25,55,0.031
24,62,0.032
24,60,0.033
24,62,0.034
21,64,0.035
23,66,0.036
23,54,0.037
22,60,0.038
23,54,0.039
29,66,0.04
24,61,0.041
25,65,0.042
27,58,0.043
25,57,0.044
24,62,0.045
25,53,0.046
24,58,0.047
23,51,0.048
23,60,0.049
22,64,0.05
21,66,0.051
23,68,0.052
25,61,0.053
24,57,0.054
26,56,0.055
28,57,0.056
28,50,0.057
26,56,0.058
22,63,0.059
24,57,0.06
