Temperature,Humidity,CO2
23,53,0.004
25,54,0.004
27,57,0.004
26,54,0.004
25,58,0.004
25,61,0.004
22,51,0.004
25,49,0.004
26,57,0.004
31,66,0.005
25,60,0.006
22,53,0.007
24,60,0.008
26,52,0.009
24,46,0.01
24,57,0.011
27,52,0.012
24,60,0.013
24,54,0.014
23,47,0.015
22,48,0.016
26,51,0.017
26,50,0.018
25,57,0.019
25,57,0.02
23,61,0.021
24,59,0.022
26,57,0.023
25,62,0.024
29,66,0.025
27,55,0.026
25,60,0.027
23,61,0.028
22,59,0.029
22,58,0.03
21,52,0.031
21,47,0.032
25,54,0.033
26,56,0.034
27,57,0.035
28,52,0.036
25,54,0.037
22,52,0.038
23,47,0.039
21,55,0.04
22,50,0.041
22,46,0.042
25,55,0.043
25,54,0.044
22,54,0.045
21,48,0.046
22,54,0.047
25,55,0.048
25,59,0.049
25,63,0.05
30,67,0.051
33,67,0.052
30,69,0.053
25,57,0.054
27,49,0.055
24,55,0.056
24,62,0.057
23,63,0.058
26,53,0.059
22,51,0.06
23,51,0.061
22,51,0.062
23,60,0.063
25,52,0.064
24,51,0.065
23,46,0.066
22,49,0.067
26,51,0.068
23,55,0.069
23,52,0.07
21,50,0.071
24,46,0.072
27,55,0.073
29,51,0.074
25,48,0.075
25,50,0.076
27,51,0.077
27,57,0.078
27,56,0.079
23,56,0.08
23,57,0.081
23,62,0.082
21,52,0.083
24,47,0.084
24,56,0.085
23,59,0.086
23,54,0.087
26,51,0.088
25,53,0.089
27,48,0.09
25,51,0.091
28,58,0.092
29,55,0.093
31,67,0.094
